x,y
0.56,0.17063245547087663
0.56,0.1598715718257995
0.56,0.1489993393977775
0.56,0.13790313453142444
0.56,0.12679040173852663
0.56,0.11578694394380111
0.56,0.1054640592232198
0.56,0.09497839817812107
0.56,0.08462724093351182
0.56,0.07459813197124257
0.56,0.06515196101600922
0.56,0.055694251099571185
0.56,0.046224981065896224
0.56,0.03720123748221776
0.56,0.028167051635196904
0.56,0.019122405388681606
0.56,0.010067280564496687
0.56,0.0010016589423225259
0.56,-0.008074477740427546
0.56,-0.017161147788729708
0.56,-0.026258369550072543
0.56,-0.03511854736845187
0.56,-0.04318143172056071
0.56,-0.05125248150189357
0.56,-0.059041908622628314
0.56,-0.0668389138821674
0.56,-0.07464350834476541
0.56,-0.0805249923554691
0.56,-0.08570497241039411
0.56,-0.09015679745067409
0.56,-0.09070254646347531
0.56,-0.09440336802230047
0.56,-0.09810569490205767
0.56,-0.10180952802137476
0.56,-0.10154948136802375
0.56,-0.10369570184770656
0.56,-0.10584234410279111
0.56,-0.10397730378237877
0.56,-0.1053267760467731
0.56,-0.1105203818618384
0.56,-0.10905336540915146
0.56,-0.10758676620138313
0.56,-0.10893648800386695
0.56,-0.11339837889222558
0.56,-0.11474876557327449
0.56,-0.1071221879163656
